STATE,STATE_ABBR,Solar_MW,TP_AG_AC
Alabama,AL,172.2000,3754.2400
Arizona,AZ,2528.0000,42701.6700
Arkansas,AR,94.0000,8093.2300
California,CA,14562.2000,217194.6700
Colorado,CO,434.0000,11588.6800
Connecticut,CN,52.2000,1338.9600
Delaware,DE,32.3000,3425.9100
Florida,FL,1104.1000,33749.0100
Georgia,GA,1029.8000,24758.0900
Idaho,ID,340.0000,11161.1200
Illinois,IL,35.1000,4314.8700
Indiana,IN,201.8000,24072.7700
Iowa,IA,7.7000,1983.4100
Kansas,KS,3.0000,665.9200
Kentucky,KY,25.2000,553.1400
Louisiana,LA,0.0000,0.0000
Maine,ME,1.5000,1.7100
Maryland,MD,359.6000,11974.9100
Massachusetts,MA,569.1000,7251.7700
Michigan,MI,73.0000,4159.0200
Minnesota,MN,488.9000,62913.2000
Mississippi,MS,160.6000,123.2800
Missouri,MO,44.1000,5210.7800
Montana,MT,17.0000,2235.0200
Nebraska,NE,6.3000,1908.5400
Nevada,NV,2458.3000,2725.7200
New Hampshire,NH,0.0000,0.0000
New Jersey,NJ,665.6000,27015.9600
New Mexico,NM,638.2000,3011.7200
New York,NY,166.4000,6447.2400
North Carolina,NC,4026.6000,245062.1600
North Dakota,ND,0.0000,0.0000
Ohio,OH,68.8000,14848.4700
Oklahoma,OK,2.5000,20.2100
Oregon,OR,204.1000,16338.3800
Pennsylvania,PA,54.2000,3231.0000
Rhode Island,RI,10.2000,55.3500
South Carolina,SC,205.2000,10607.7500
South Dakota,SD,1.0000,20.8100
Tennessee,TN,143.3000,7773.1100
Texas,TX,2700.7000,14382.6200
Utah,UT,1161.5000,19141.9400
Vermont,VT,79.5000,687.9200
Virginia,VA,278.7000,7551.0300
Washington,WA,0.5000,0.0000
West Virginia,WV,0.0000,0.0000
Wisconsin,WI,20.4000,7628.2100
Wyoming,WY,0.0000,0.0000
